round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
64,42,0.5,uniform,0.5043833781500844,0.1444029820820898,0.509782100777991,0.0959524063928224,0.5444249711803887,0.3907854151930008,0.3907854151930008,0.3907854151930008,0.7898690425933188,0.396872346057642,1.3623923052866906,0.4468672017863744,5.8,,,,1.1690993309020996,0.6284443140029907,0.6686015129089355
65,42,0.5,uniform,0.5066775293141538,0.1437363390901515,0.4222333632437829,0.0881536078474834,0.5487872340098453,0.3940697698154586,0.3940697698154586,0.3940697698154586,0.7893628549627862,0.3970459041116539,1.3601608232119198,0.4469293988427741,5.8,,,,1.1643269062042236,0.628172755241394,0.6678596138954163
66,42,0.5,uniform,0.5086430520707338,0.1454643705915795,0.4969999073946933,0.1017492791386777,0.5464958289340057,0.3973520146847014,0.3973520146847014,0.3973520146847014,0.7820503330386882,0.3963670679835773,1.3429576452642549,0.4468229666807766,5.8,2.2413443730329163e-05,0.152276411652565,1.8168700989917852e-05,1.1598228216171265,0.6302309036254883,0.6686080694198608
67,42,0.5,uniform,0.5091957642339001,0.1459745312105989,0.4966843042520737,0.1018720681187068,0.5464295766632912,0.4005516094349595,0.4005516094349595,0.4005516094349595,0.787106903359359,0.3972058073011548,1.3515334467700475,0.447585324533121,5.8,,,,1.1601934432983398,0.6300288438796997,0.6680973172187805
68,42,0.5,uniform,0.5070611373791698,0.1429518307896858,0.4966731277495526,0.1019246941896024,0.5501827107055679,0.4037512041852175,0.4037512041852175,0.4037512041852175,0.7889546741564721,0.3967482415739626,1.3604465944277668,0.44679894236498,5.8,,,,1.1663362979888916,0.6319479942321777,0.668502151966095
69,42,0.5,uniform,0.5049714938805976,0.1392317202699276,0.4966582257461912,0.1017224390886449,0.5487804402426849,0.4069507989354755,0.4069507989354755,0.4069507989354755,0.783634070095537,0.397021402828558,1.346195678263252,0.4464360714999869,5.8,,,,1.16081440448761,0.631035327911377,0.6677850484848022
70,42,0.5,uniform,0.5102512070533902,0.1490742492570888,0.4966688700343065,0.101798505916461,0.5480682376307378,0.4101417044570325,0.4101417044570325,0.4101417044570325,0.7855181133122423,0.3966444296737946,1.3513728237047986,0.4468413228291091,5.8,,,,1.1647067070007324,0.6310454607009888,0.6683560013771057
71,42,0.5,uniform,0.5083156732009156,0.1457995781700571,0.5477444221269203,0.1147055574415043,0.5488365844297027,0.4132565682978655,0.4132565682978655,0.4132565682978655,0.784925214718523,0.396909687261394,1.3473325933951998,0.447348405180019,5.8,-0.019769100472331,-0.7231931090354919,0.0251300185918808,1.164539098739624,0.6276507377624512,0.6695805788040161
72,42,0.5,uniform,0.5096580931721929,0.1490381852974965,0.5012682669289419,0.1026468653677259,0.5487571601971794,0.4163714321386986,0.4163714321386986,0.4163714321386986,0.7828553148492455,0.396546999504993,1.3469589670152122,0.4460200030991084,5.8,,,,1.1622097492218018,0.6289726495742798,0.6677791476249695
73,42,0.5,uniform,0.5075347121565021,0.1450410857638893,0.4966843042520737,0.1018480606908366,0.5498316247123587,0.4194862959795317,0.4194862959795317,0.4194862959795317,0.7871901549106082,0.3965048724907454,1.35548596663246,0.4471357092586667,5.8,,,,1.16469407081604,0.6299594044685364,0.6687668561935425
74,42,0.5,uniform,0.5091107956722679,0.1438793736594165,0.5012959420780417,0.1031552575932816,0.5484894632238323,0.4226011598203647,0.4226011598203647,0.4226011598203647,0.7894953477590886,0.3967756837216006,1.3586991999347138,0.447838890240182,5.8,,,,1.165023922920227,0.6294042468070984,0.6682499647140503
75,42,0.5,uniform,0.5096822509005001,0.1460971630854923,0.4967359290494331,0.1025189561819498,0.5499598436161031,0.4256457357829705,0.4256457357829705,0.4256457357829705,0.786380805693339,0.3968332152179235,1.3530003636685002,0.446880841489442,5.8,,,,1.1624985933303833,0.6285563707351685,0.6668141484260559
76,42,0.5,uniform,0.4845015677532646,0.1360061994494565,0.5021240676934147,0.1026118148014876,0.5487015580485666,0.4286758976571511,0.4286758976571511,0.4286758976571511,0.7878458810945785,0.3963178691645376,1.3594572065178483,0.4466566243025934,5.8,-1.4021458127899677e-07,-0.1499325931072235,-3.0051589305912785e-07,1.167479395866394,0.6306306719779968,0.6705580353736877
77,42,0.5,uniform,0.5047686522653285,0.1387481148588587,0.4977104136263918,0.1026395259938837,0.5492653223983937,0.4317060595313318,0.4317060595313318,0.4317060595313318,0.7867803060852284,0.3970783747830245,1.3515018365268625,0.4474425244279303,5.8,,,,1.165858507156372,0.6292335391044617,0.668850839138031
78,42,0.5,uniform,0.5065734011748986,0.1417230628473433,0.4966656767478719,0.1021360631408526,0.5469039733028997,0.4347362214055124,0.4347362214055124,0.4347362214055124,0.7881701748704285,0.3969705225859146,1.3574442767159909,0.4468535410004411,5.8,,,,1.1652873754501345,0.6304563283920288,0.6671302318572998
79,42,0.5,uniform,0.4795404866865926,0.1346764505969374,0.4968381142153403,0.1025752654798226,0.5455630812342718,0.4377524749422053,0.4377524749422053,0.4377524749422053,0.7837822485438601,0.3963819402534368,1.3477421098400932,0.4467877420275492,5.8,,,,1.1628799438476562,0.62990403175354,0.6683543920516968
80,42,0.5,uniform,0.4785595996148092,0.1321460447765193,0.4966646123190604,0.1022889683396294,0.5469748613730805,0.4406979637725273,0.4406979637725273,0.4406979637725273,0.7913914499845046,0.3970242878625487,1.363611102885034,0.4476317909086635,5.8,,,,1.1640944480895996,0.6285760998725891,0.6681290864944458
81,42,0.5,uniform,0.5445206107073716,0.1482861239596805,0.4987391840727388,0.1024457364667632,0.5475145499591669,0.4436434526028492,0.4436434526028492,0.4436434526028492,0.784052844391119,0.3963886734960381,1.345815714530029,0.4476797539073827,5.8,-0.0615129359066486,-0.5431289672851562,0.0413400493562221,1.1618571281433103,0.6296296119689941,0.6697229743003845
