embed_dim,epsilon_level,task_config,task_count,seed,sigma,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc,convergence_round,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno
64,1.0,ihm_only,1,123,6.5625,0.764484811659132,0.46343191379912185,0.507279176267892,30,,,
128,1.0,ihm_only,1,123,6.5625,0.6909849408926636,0.4746261321673312,0.5081635654296718,5,,,
32,1.0,ihm_only,1,7,6.5625,0.782521278187647,0.4676333339457295,0.5041410863264006,17,,,
64,1.0,ihm_only,1,7,6.5625,0.7204873691227083,0.48807320277048005,0.5039944554024887,11,,,
128,1.0,ihm_only,1,7,6.5625,0.7371009064485265,0.4680168470173247,0.51347906067725,16,,,
32,0.5,all_tasks,3,42,12.5,0.665041196022328,0.4875220462604031,0.544240678121224,22,-0.010916951494708435,0.05893939208072513,0.007373792644930698
64,0.5,all_tasks,3,42,12.5,0.5969555300615332,0.4131882566919586,0.5510679188554467,18,-0.00877108469168529,0.014493041529246433,-0.0007471043917811821
128,0.5,all_tasks,3,42,12.5,0.5142719164199138,0.43452605133104294,0.5493922890968755,2,0.004506693926800164,0.08918668323608696,0.004065281780461445
32,0.5,all_tasks,3,123,12.5,0.6235744634541175,0.4754310503205894,0.5484173270762307,15,-0.006102026964981633,0.04999680429682485,-0.0005918101196584757
64,0.5,all_tasks,3,123,12.5,0.538240428783255,0.5268591198030534,0.5487315530683794,3,-0.012762214145844891,-0.04323081122267814,0.00022631191781588962
128,0.5,all_tasks,3,123,12.5,0.5258004543578907,0.46818563869853574,0.5500399170310374,1,-0.0049919559862342125,0.07652539568708132,-0.0024656390945126893
32,0.5,all_tasks,3,7,12.5,0.6278332751404565,0.5455128970623357,0.5519585725908063,3,-0.00022686860309197352,0.06823959983347987,-0.004147689001491437
64,0.5,all_tasks,3,7,12.5,0.572425191923131,0.5272236868696147,0.5507237821901274,2,0.002200134464060067,0.07149685999112469,-0.002061401461278798
128,0.5,all_tasks,3,7,12.5,0.5775791158612621,0.5737344068637358,0.5480050893033501,2,0.0018973101170793657,0.15043285020416783,0.0024240448931983163
32,0.5,ihm_decomp,2,42,12.5,0.6504586656751206,0.4849717991585677,0.4948042054710048,17,-0.008036740630734385,,
128,0.5,ihm_decomp,2,42,12.5,0.5358371385428806,0.6146290716687182,0.502290711781043,2,0.00918227632791968,,
64,0.5,ihm_decomp,2,42,12.5,0.6999156581160925,0.5432583224633022,0.5019022910694907,43,0.012345220854126638,,
32,0.5,ihm_decomp,2,123,12.5,0.6737361187316069,0.4684307885212471,0.5010394857807673,19,-0.0010027601796237728,,
128,0.5,ihm_decomp,2,123,12.5,0.5335204574413575,0.47167342598886663,0.5004972274200038,1,0.0047420143407288055,,
64,0.5,ihm_decomp,2,123,12.5,0.6155257084038072,0.4752657033675663,0.4949378863446757,3,0.017678653651477808,,
128,0.5,ihm_decomp,2,7,12.5,0.5320322312962803,0.5455611232569675,0.49713176778288826,2,0.007312117367594813,,
32,0.5,ihm_decomp,2,7,12.5,0.6837950220150455,0.4737201686538921,0.5031945523350403,16,0.03267639294535536,,
64,0.5,ihm_decomp,2,7,12.5,0.5542907799810458,0.4767015809005898,0.4922869976814692,2,0.036602751158837536,,
128,0.5,ihm_only,1,42,12.5,0.5412177879753868,0.5227214271279235,0.49653639812808154,2,,,
64,0.5,ihm_only,1,42,12.5,0.6526347769701313,0.4868864939097206,0.5011539804543483,5,,,
32,0.5,ihm_only,1,42,12.5,0.7193587296117101,0.5307947217578218,0.5026445858049627,22,,,
128,0.5,ihm_only,1,123,12.5,0.6778176310813446,0.540494502213812,0.5040959062875097,12,,,
32,0.5,ihm_only,1,123,12.5,0.6865302383791848,0.5313022450441844,0.4990254243336367,10,,,
64,0.5,ihm_only,1,123,12.5,0.6448626270229583,0.4915707501240102,0.5051167760194282,11,,,
128,0.5,ihm_only,1,7,12.5,0.6063369775677796,0.5275388794988151,0.49819712851102765,2,,,
64,0.5,ihm_only,1,7,12.5,0.5366968816175504,0.513501612132792,0.5037057839130444,2,,,
32,0.5,ihm_only,1,7,12.5,0.6777555082958859,0.47079674266502547,0.5008115468649299,8,,,
