model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL,123,1,1.0263985988875144,0.3897665732552391,1.3450847715790095,0.4679880349136336,5.6,1.0793719291687012,0.8939917683601379,0.890404462814331,0.6409086971154007,0.2528818405208147,0.5974298301916716,0.12402542966865619,0.5337603960651773
VFL-MTL,123,2,0.9021428557983132,0.3787942042647491,1.3559930345377027,0.44835763180620286,5.6,1.128559947013855,0.8092492818832397,0.8084357380867004,0.6635969691214251,0.2941970870753194,0.5683421840589012,0.12651256365380953,0.5511738884595222
VFL-MTL,123,3,0.8250343539308773,0.3750064535042084,1.3465205342488518,0.44750637883182176,5.6,1.1493006944656372,0.7420295476913452,0.749209463596344,0.7048721139844925,0.31357566658132485,0.5707360844560396,0.11945514932878502,0.5578778369095736
VFL-MTL,123,4,0.7784707481163557,0.369113551997722,1.344647843764859,0.4468011941972258,5.6,1.1563109159469604,0.6914392709732056,0.7096577882766724,0.7165115573904323,0.3228719818532291,0.38892366023006564,0.0875212419197639,0.5555452455031759
VFL-MTL,123,5,0.7561617579522611,0.36383211846955477,1.3558347321493658,0.4461377544174028,5.6,1.160785436630249,0.6548690795898438,0.6867576241493225,0.7033601734025078,0.3201658055436176,0.5964436368977861,0.15298824503165329,0.5596842837293012
VFL-MTL,123,6,0.7481516737604766,0.3659455126810282,1.3558845275354177,0.44439847123154386,5.6,1.1622732877731323,0.6325609087944031,0.6742880344390869,0.6894857236155956,0.31124581635807125,0.6052991523953374,0.13511649029625497,0.5638732151599729
VFL-MTL,123,7,0.7363934526016619,0.3603014096162205,1.3519451248593726,0.44435401475585706,5.7,1.16380774974823,0.6163969039916992,0.66885906457901,0.7173025147362143,0.33493927305066284,0.6130221156374173,0.1777618018136185,0.5733109343739943
VFL-MTL,123,8,0.7355238278620108,0.3611283951060741,1.3492450039980193,0.4445093745227464,5.6,1.1602979898452759,0.6074159741401672,0.6671959757804871,0.7336810380159341,0.3464312422014567,0.5926995085532176,0.16371755330458512,0.5794525864749446
VFL-MTL,123,9,0.7306724836212058,0.35829629602650886,1.3522686403911708,0.4428776756384487,5.6,1.161412000656128,0.6036505103111267,0.6659066081047058,0.713024514263056,0.33772450262353026,0.6279097492099277,0.18964678613464198,0.5790528007388912
VFL-MTL,123,10,0.7240792648240468,0.3534102842667217,1.3586561312842056,0.44104762069523074,5.6,1.164745569229126,0.5981465578079224,0.664414644241333,0.7504181786072486,0.36058143823961636,0.6042645275905271,0.14535026501827394,0.5765241576044354
