model,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
VFL-MTL,123,14,2.130957936615923,0.3442849956745664,1.3449202442793866,0.44175268494926684,5.6,0.7728157248484727,0.4064829620573825,0.45212412091485527,0.10113626254561289,0.5839728000751123
VFL-MTL,123,15,2.1361614460507856,0.33870485633221253,1.3564806187517258,0.44097597122712945,5.6,0.7789651162403244,0.41016009731247166,0.5807752447920159,0.13608788542008254,0.5868854860932747
VFL-MTL,123,16,2.120220864704082,0.3392387780169733,1.3409873718257554,0.43999470854950784,5.6,0.7784832112118516,0.41869436177875374,0.6352489858654498,0.1544036428885938,0.5846583982582454
VFL-MTL,123,17,2.1437979119313337,0.34285319176823814,1.3602147110164426,0.4407300047218539,5.6,0.7850495316732808,0.4222299789394476,0.6093833657451907,0.16341003470019697,0.589152259301658
VFL-MTL,123,18,2.1194013237432623,0.33664083981878373,1.3408627707885343,0.4418977099474861,5.6,0.7611887768192434,0.37351388975584177,0.5852213639377906,0.14774834457840774,0.5868676782705355
VFL-MTL,123,19,2.08656711609603,0.3390559864486669,1.3056180333987073,0.4418930974849967,5.6,0.7762927716744805,0.4190513652895368,0.7045640578580926,0.19408303604556185,0.5684823378348347
VFL-MTL,123,20,2.053843863145753,0.33629280348271784,1.27577055541709,0.4417804998862171,5.6,0.7827528814338695,0.4348441387132706,0.6928750328642397,0.1898629920627179,0.5859670612147102
VFL-MTL,123,21,2.0394558698329344,0.34011844600912783,1.259021732224127,0.4403156956991254,5.6,0.7704466014241398,0.4211707024322854,0.6327401271566657,0.1555250060732222,0.5874832315555816
VFL-MTL,123,22,2.0233951926751947,0.3350125730818536,1.2482150623892072,0.44016755850554556,5.6,0.7867980513876532,0.42932239407383505,0.6935999088848936,0.18632424855350493,0.5903275185633271
VFL-MTL,123,23,2.006076953817143,0.336678253511154,1.2289578032285366,0.440440896947311,5.6,0.7855560109426178,0.4232033814060514,0.6807751383491347,0.17928574135832928,0.5937527251570232
VFL-MTL,123,24,2.0145232193334652,0.33651859674391266,1.2378344384863909,0.4401701812400568,5.6,0.7822355728380498,0.43719631961625893,0.6858838644300888,0.1886909829382023,0.5943725343501571
VFL-MTL,123,25,2.0019867290055386,0.3338731374412645,1.2284567772561286,0.4396568193185798,5.6,0.781811563055003,0.41961549298268996,0.6897264524397241,0.18617688475365463,0.5932444060602736
VFL-MTL,123,26,2.013789708957922,0.3328443560667954,1.2417172815601898,0.4392280647588089,5.6,0.7755147262179661,0.4310921816332224,0.693225229943234,0.1887866310201033,0.5974619570115277
VFL-MTL,123,27,2.0065606421258253,0.33398353702116224,1.2327800861612679,0.4397970229777707,5.6,0.7816832771874407,0.4184050432589152,0.692506740495449,0.1953287111921383,0.5935911489260038
VFL-MTL,123,28,2.002438951267426,0.332381382259219,1.2307524889317143,0.4393050756516936,5.6,0.7731780907730806,0.4124090869610382,0.6927930718457516,0.1866069592821347,0.5946216795526541
VFL-MTL,123,29,2.0044319598435316,0.3349869031638037,1.2297081111820505,0.439736942276684,5.6,0.7684315136732742,0.427286908454023,0.6996304303166356,0.1936185454134981,0.5972105773046766
VFL-MTL,123,30,1.995527594370613,0.3336930506614618,1.2236920652431171,0.43814247989758653,5.6,0.7683998587189407,0.4217502350440751,0.6961210085250104,0.20201687687692188,0.5936535306462782
VFL-MTL,123,31,1.9893437301227619,0.33315752934680753,1.217580711477188,0.4386054868260846,5.6,0.7814283715025442,0.42339224577997503,0.7036992094487218,0.213928266678614,0.5926770749068777
VFL-MTL,123,32,1.9856771584681547,0.3312501498054729,1.2165087586407057,0.43791824136758994,5.6,0.7870412947209532,0.4239657844547176,0.695766021516364,0.20137464979522784,0.5941714471173563
VFL-MTL,123,33,1.987568558563832,0.33276961913015124,1.2164634296987775,0.4383355179988661,5.6,0.7820231514339694,0.4214899913525694,0.6975957746433897,0.19966512693205338,0.5988270795957358
VFL-MTL,123,34,1.9713747761655582,0.3315209602554813,1.201713230151797,0.43814058348081,5.6,0.7825287976781925,0.4334395299070789,0.7001205997843467,0.19546514618348865,0.5970813167626834
VFL-MTL,123,35,1.9909644808831695,0.33184539490912157,1.2197408142568764,0.439378265079973,5.6,0.783290182632426,0.4265632993829364,0.697225353416976,0.20008043729483374,0.5951980019295413
VFL-MTL,123,36,1.9762941416694608,0.330627511031763,1.206912813488573,0.4387538196218066,5.6,0.7775664670738495,0.42123567008506246,0.6924258439057724,0.19373322582897723,0.5889785911409228
VFL-MTL,123,37,1.9761236260551553,0.33002711058183526,1.2078872388106767,0.4382092827792772,5.6,0.7924601230877907,0.44048450678033546,0.6914891465516232,0.20122818955426974,0.5972681839030335
VFL-MTL,123,38,1.972234783734817,0.3291650923318738,1.2043699721061507,0.4386997146117115,5.6,0.774057765293508,0.4319839287944224,0.7023638835046532,0.20266739035005943,0.6021806651311783
VFL-MTL,123,39,1.9699124373723327,0.3321745022155312,1.1997325407365524,0.4380053959819427,5.6,0.7821639326782424,0.42797297435937615,0.6881244870783664,0.19551243337705407,0.6029938071363931
