source,config,epsilon,delta_m_mean,delta_m_std,eta_priv_mean,eta_priv_std,eta_comm_mean,eta_comm_std,pcmu_mean,pcmu_std,val_ihm_auroc_mean,val_ihm_auroc_std,val_decomp_auroc_mean,val_decomp_auroc_std,val_pheno_macro_auroc_mean,val_pheno_macro_auroc_std
exp1,ST-Pheno,inf,0.0,0.0,0.9429545453152673,0.00242716848548657,0.850015317319654,0.21774095341609184,-0.6862768233866005,0.05642892995724002,0.5175207395485892,0.016180140045256343,0.4824094268654026,0.037173265728126285,0.6221121869286059,0.001601319068932893
exp1,VFL-MTL,inf,0.011121492985378185,0.006806449888600271,0.8739062147308528,0.013759988639812034,0.6854104053450368,0.09092090328919264,-0.6524031418511129,0.1738691723641604,0.8003449834672282,0.0012962465906224338,0.7025579643579561,0.04546535407381333,0.617808407681273,0.005821741418502784
exp3,all_tasks,inf,0.011121492985378185,0.006806449888600271,0.8739062147308528,0.013759988639812034,0.6854104053450368,0.09092090328919264,-0.6524031418511129,0.1738691723641604,0.8003449834672282,0.0012962465906224338,0.7025579643579561,0.04546535407381333,0.617808407681273,0.005821741418502784
exp3,ihm_decomp,inf,0.017374040625474613,0.010416409796748616,0.8582749746757544,0.017636620076874894,0.7160756982762461,0.13810655655535858,-0.5492704204140356,0.26307838508284775,0.8003449834672282,0.0012962465906224338,0.7025579643579561,0.04546535407381333,0.616845864565962,0.004856199305937673
exp3,ihm_only,inf,0.0,0.0,0.9137762191335413,0.00688600705633078,0.6931471805599453,0.0,-0.7925845243526078,0.015074728471780277,0.7979072743085059,0.006012845383956137,0.5034125587697758,0.01737856199462089,0.5079606493927747,0.003603423746102394
exp3,ihm_pheno,inf,0.0005091268863357029,0.001978778020374731,0.9234372650998872,0.005189824351237946,0.6782906017327831,0.18441508223241115,-0.764944460131835,0.023397684554387368,0.7997175767188361,0.005410645549728088,0.5288201196914718,0.09302220803897987,0.6217508867660463,0.0017720064474875342
privacy,eps_0.5,0.5,-0.06611481428408844,0.00366575731519167,0.6752850064093642,0.008449342233339452,0.5244946831035685,0.11074939961306184,-2.724968423080235,0.12290366289592905,0.5594889613065388,0.008074622587974863,0.5760300211502005,0.016520328987248,0.5532102163420054,0.0009321572688574012
privacy,eps_1.0,1.0,-0.04230774714773109,0.024467012644651263,0.7363410795201683,0.06651569426178462,0.5244946831035685,0.11074939961306184,-2.0999079463313755,0.6356379909980858,0.6426213967498692,0.11256943468942769,0.6150608516211072,0.009813138221943627,0.5557452755799298,0.0018541744496706947
privacy,eps_10.0,10.0,-0.003077317156679728,0.0067585848542264385,0.8423684635036174,0.014261033531403847,0.5244946831035685,0.11074939961306184,-1.0580460733271047,0.14076688319165664,0.8017110058167368,0.00373441763547197,0.6317610300548572,0.04023681200786215,0.5870955927464389,0.00951631572800968
privacy,eps_2.0,2.0,-0.017921370749413187,0.003439777519700357,0.8084266662695055,0.007027471986558354,0.5244946831035685,0.11074939961306184,-1.4387444249856802,0.11606225846264807,0.784180686479336,0.0025469167638870415,0.5685254432192869,0.022609727009476104,0.5760388505788848,0.001608755520982435
privacy,eps_5.0,5.0,-0.006427976030320608,0.008085064256593269,0.8349280525773399,0.016899268219821354,0.5244946831035685,0.11074939961306184,-1.1434948655204205,0.20454571992172776,0.800461051633118,0.005178793949682585,0.615273737383414,0.04844619000811582,0.5825888648139331,0.004321115101061377
privacy,eps_inf,inf,0.011121492985378185,0.006806449888600271,0.8739062147308528,0.013759988639812034,0.6854104053450368,0.09092090328919264,-0.6524031418511129,0.1738691723641604,0.8003449834672282,0.0012962465906224338,0.7025579643579561,0.04546535407381333,0.617808407681273,0.005821741418502784
