n_sites,seed,convergence_round,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
2,42,45,56,0.5126811837265065,0.3198425365392298,1.179422213260784,0.673048582920341,4.0,1.0854120254516602,0.5659045577049255,1.0,0.7991009992969269,0.4534418095621017,0.7021557876719984,0.20656785091316215,nan
2,42,45,57,0.5051876056662814,0.31900373660841363,1.1650334724172233,0.6740596768116847,4.0,1.0817937850952148,0.5641279816627502,1.0,0.786469839492721,0.42768928199219775,0.6866034183066854,0.20062907360146714,nan
2,42,45,58,0.5187697721620834,0.32244131060146347,1.1842819912985423,0.6761056117095281,4.0,1.0868054628372192,0.5674717426300049,1.0,0.7919703043207348,0.43810086033036894,0.7038860167051458,0.20792704933967582,nan
2,42,45,59,0.5110598403033211,0.3183586343667393,1.181150047019059,0.6786115856670396,4.0,1.0859782695770264,0.5656630992889404,1.0,0.7871804099149982,0.4563347272434204,0.7022803258429479,0.21196090938428397,nan
2,42,45,60,0.5053385326956037,0.3190066958879279,1.1653337463020759,0.6764513766921764,4.0,1.0832792520523071,0.5651373267173767,1.0,0.7871037716045064,0.44996878310263755,0.7086211282732517,0.21545228043691123,nan
2,42,45,61,0.5097010026332073,0.3179596708721469,1.1793618444272005,0.67747559375638,4.0,1.0833005905151367,0.5655297636985779,1.0,0.797729006934101,0.45634529287628234,0.7029487871365907,0.20508524596795677,nan
2,42,45,62,0.5045531985541098,0.31671462139708506,1.17192845131112,0.6793802544539672,4.0,1.082974910736084,0.5634286999702454,1.0,0.7902567716611519,0.442018061422566,0.7059589918156068,0.21136991395549357,nan
2,42,45,63,0.4965497587185239,0.3166921472575467,1.1533767947984055,0.6800453350533564,4.0,1.0784059762954712,0.5628474354743958,1.0,0.7896619917297267,0.44421302204441193,0.7082432560451574,0.21052512965789175,nan
2,42,45,64,0.4971543809472213,0.3162823984456375,1.1563107904908958,0.680302885942584,4.0,1.0759143829345703,0.563230037689209,1.0,0.7819340177467672,0.43975372357119596,0.7087765348797356,0.22387440311519058,nan
2,42,45,65,0.5002376968163069,0.3164146105274883,1.1629861124738334,0.6824878922716499,4.0,1.0796558856964111,0.5629468560218811,1.0,0.7936871690807734,0.4430905445351967,0.7129778353988574,0.22092781755648855,nan
2,42,45,66,0.49464967742757504,0.31863594347993357,1.141998750674152,0.6818029651475265,4.0,1.072898507118225,0.5634841918945312,1.0,0.7931656953593836,0.44157611677376496,0.7121550319275421,0.23570208312980923,nan
2,42,45,67,0.49775673325405373,0.31669464030640615,1.1561421486488075,0.6815056360965213,4.0,1.0726017951965332,0.5640469193458557,1.0,0.7884911749319418,0.4339865398701129,0.6929761536013352,0.20423456913197824,nan
2,42,45,68,0.493323491390095,0.3150899565766472,1.1518072163173725,0.6826982620501623,4.0,1.0742278099060059,0.5627962946891785,1.0,0.7762869404986822,0.414054463273108,0.7128522327990965,0.22295951807813238,nan
2,42,45,69,0.5003277983467652,0.3156536355549592,1.1658887839733774,0.6845666914527593,4.0,1.0785646438598633,0.5617828369140625,1.0,0.7968743231670948,0.44571205356122273,0.6947675872911457,0.2125228823254655,nan
2,42,45,70,0.48595047075155,0.3124333406639932,1.1445231507959324,0.683959374521497,4.0,1.072160005569458,0.561299741268158,1.0,0.7894887225060061,0.4417062682972515,0.7115174390694338,0.22906168900725352,nan
2,42,45,71,0.494518672014428,0.3149234861395765,1.1551413184690684,0.6843721267958396,4.0,1.074386715888977,0.5600549578666687,1.0,0.7906233027113301,0.4354569514063356,0.7081974856062614,0.22694408168700086,nan
2,123,29,1,0.8285813982309733,0.3883529112849173,1.3596978109476348,0.7220977086687713,4.0,1.0798780918121338,0.8934529423713684,1.0,0.6551888301328508,0.28432724917078905,0.5143516936659035,0.1055826145008153,nan
2,123,29,2,0.7552015635644505,0.37596937799297564,1.3616543529335587,0.7146293310098774,4.0,1.127662181854248,0.8085509538650513,1.0,0.6818110632399346,0.30163043625472463,0.4992729951217228,0.10864735754277417,nan
2,123,29,3,0.7076507670129751,0.3758414951864809,1.3481877162466924,0.7136064900581494,4.0,1.1470736265182495,0.7423216104507446,1.0,0.6923659079473927,0.3072719764154578,0.5992845973957684,0.13851011164846705,nan
2,123,29,4,0.6758777149119232,0.3733188168320593,1.337697796425965,0.7219909145842474,4.0,1.1538370847702026,0.6922746896743774,1.0,0.7038387463305245,0.31594275890749457,0.49958753383553084,0.11134258173420727,nan
2,123,29,5,0.6581629331195198,0.3675893398741968,1.3447227254184573,0.7205323116227529,4.0,1.1577931642532349,0.6563280820846558,1.0,0.7049283431796902,0.31668912705507424,0.5925371831594589,0.1380433768707016,nan
