n_sites,seed,convergence_round,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
2,123,35,25,-2.2797890714162303,0.33310297164073677,1.1998354441213817,2.378754981302473e-11,4.2,1.096327781677246,0.5769555568695068,0.05620194226503372,0.7755563774736682,0.42213377498141824,0.6985644048618851,0.21188135189199403,nan
2,123,35,26,-2.387947938327706,0.3351600662719735,1.2075948834939816,4.0811225995408107e-10,4.2,1.096753716468811,0.5790478587150574,0.0501219779253006,0.7855268550636265,0.42949262648416614,0.693620133032313,0.20608175030898712,nan
2,123,35,27,-2.5060811469648603,0.3333177644613008,1.2055345607116232,2.6203732667225405e-10,4.2,1.1009796857833862,0.579413652420044,0.04469975084066391,0.7614532622929515,0.40791823833143137,0.6986814920311537,0.20112306137666108,nan
2,123,35,28,-2.627221656157981,0.3329666137825454,1.1907323859143986,3.0801200856216785e-09,4.2,1.0957313776016235,0.5781794190406799,0.039864104241132736,0.7689413250430674,0.42554285045414175,0.696172101107964,0.2031053450958273,nan
2,123,35,29,-2.734696233116383,0.3342250434592301,1.2030954389592967,4.433073544835869e-09,4.2,1.0967862606048584,0.5773699879646301,0.03555157780647278,0.7824871464224903,0.4318904579645918,0.6945578948152736,0.19786692029656483,nan
2,123,35,30,-2.848605812897328,0.3328115174864057,1.2095994808788384,5.894308415475574e-10,4.2,1.0986887216567993,0.5773086547851562,0.0317055843770504,0.7702108553168661,0.41340462444958126,0.6924332949074533,0.20427257845809185,nan
2,123,35,31,-2.966731320302039,0.33343090904331624,1.1985954184199004,2.3050266555935153e-09,4.2,1.0952131748199463,0.5769887566566467,0.02827565185725689,0.7754022678275705,0.43155302890059744,0.6955510068964343,0.20643809636640734,nan
2,123,35,32,-3.0891558207799252,0.33131753038370976,1.187140810437598,1.2283687441185856e-09,4.2,1.0935052633285522,0.5754722356796265,0.02521677501499653,0.7808260943450923,0.4262766702313171,0.6948729657434876,0.2004088672509788,nan
2,123,35,33,-3.201279446547729,0.329793723454642,1.1984457430881184,1.5492878114824593e-10,4.2,1.0955772399902344,0.5755531191825867,0.022488808259367943,0.7765243526561839,0.4295375356971709,0.6942971097564481,0.19848717366243818,nan
2,123,35,34,-3.308459597383524,0.3318207249631007,1.208674110439667,3.556590169232299e-10,4.2,1.1004343032836914,0.5761763453483582,0.020055953413248062,0.7680050048148852,0.41687421701471833,0.6965526344080872,0.1968811106129492,nan
2,123,35,35,-3.4261019042485668,0.33073007149467304,1.205029280164877,7.199561384199625e-10,4.2,1.1014282703399658,0.5739274621009827,0.0178860854357481,0.7826704119475795,0.4265181327651,0.6933705244760083,0.2101736738120685,nan
2,7,95,1,0.7858935865252299,0.38986911536824753,1.356904704237609,0.03896276394791297,4.3,1.0770076513290405,0.8934606909751892,0.8844541311264038,0.6855863330567691,0.28179160559129607,0.4893317622364075,0.10158215861311637,nan
2,7,95,2,0.5756189339025573,0.37890437935117033,1.3592843681443727,5.0633967213607675e-05,4.2,1.127198338508606,0.8088593482971191,0.787142813205719,0.6837974116243657,0.3008426687052479,0.5246590900623862,0.11587502799740723,nan
2,7,95,3,0.4092863415526511,0.3722460303113971,1.3531175786751326,2.37352919949607e-05,4.2,1.1495918035507202,0.7411406636238098,0.7012457847595215,0.7083404140468027,0.31910995799804326,0.5905759730742087,0.1403237740799866,nan
2,7,95,4,0.26548804726663117,0.37008689649760984,1.3526027343158638,2.700416240362335e-05,4.2,1.1578090190887451,0.6908684372901917,0.6249728798866272,0.696723045806385,0.31213163175659464,0.5854432973449952,0.13330453492040867,nan
2,7,95,5,0.11723444074001896,0.3677084427733609,1.309308776688888,2.1505461663208413e-05,4.2,1.1488946676254272,0.6546172499656677,0.557112991809845,0.7071516872090658,0.32037940754530814,0.6625201842313386,0.16407227500774765,nan
2,7,95,6,-0.013690892395494286,0.36372111028458876,1.2974666580883176,2.3692369030199363e-05,4.2,1.1413034200668335,0.6303911805152893,0.49668532609939575,0.7202510071273629,0.338311784698229,0.6635771620411912,0.17912619282682765,nan
2,7,95,7,-0.15108296509392918,0.36090765281795933,1.2557514432215795,4.523533911513102e-06,4.2,1.1300793886184692,0.61558997631073,0.44284576177597046,0.7335044366917575,0.33654155987179,0.6906690041523368,0.1844370411219631,nan
2,7,95,8,-0.27601007108605063,0.35768596476602765,1.2434672760130536,3.0465696255408638e-05,4.2,1.1175609827041626,0.606372058391571,0.39487189054489136,0.7356353149334744,0.3518530303328656,0.6950358233516521,0.18713223545857038,nan
2,7,95,9,-0.3959856095792945,0.3525033488414173,1.2492375863171041,9.257348393701827e-06,4.2,1.1193516254425049,0.5998969674110413,0.35210472345352173,0.7655109276234459,0.39731829741997693,0.6834197117313893,0.1826551382658768,nan
2,7,95,10,-0.5173047164121569,0.3502381945020767,1.241008029233941,2.7356598096348255e-06,4.2,1.1167486906051636,0.5953224301338196,0.3139778673648834,0.7599838059917831,0.3885263096803817,0.6647049243670109,0.16732698249298705,nan
2,7,95,11,-0.6369154539170744,0.3475442934765045,1.2382769444103325,2.2292347610367887e-06,4.2,1.1106759309768677,0.5915001630783081,0.2799864709377289,0.7501424472945011,0.369770609714546,0.6684431983531158,0.19677910473139243,nan
2,7,95,12,-0.7596206979980635,0.34268699879209025,1.2355347673965853,1.2802718301674586e-06,4.2,1.1087181568145752,0.587563157081604,0.24967768788337708,0.7602087227725742,0.396850328747693,0.6856475612339284,0.18941228440683489,nan
2,7,95,13,-0.8738328142978219,0.34607123300498227,1.2244360129385536,1.6782270515375505e-06,4.2,1.106705904006958,0.5872683525085449,0.2226552516222,0.752592374154896,0.3945248808899099,0.6889994475614468,0.19227466052455516,nan
2,7,95,14,-0.9848907084964769,0.34959767823916854,1.2204815654254897,7.903740043640179e-07,4.2,1.1054303646087646,0.588916003704071,0.19855739176273346,0.771563271589512,0.4062199536869021,0.691947915369394,0.19813308024091664,nan
2,7,95,15,-1.1101053239997298,0.3401784704892396,1.227738896311631,4.49783314015435e-07,4.2,1.1073229312896729,0.5848296284675598,0.1770704686641693,0.7729215190379559,0.4163873602695188,0.691610491436138,0.1858182865736409,nan
