source,config,seed,epsilon,delta_m,eta_priv,eta_comm,pcmu,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc
exp3,all_tasks,7,inf,0.015893539250939927,0.8840692989515819,0.7722157040356383,-0.508175482199809,0.8001880970707504,0.7298767072107601,0.6223413541308773
exp3,all_tasks,42,inf,0.003327287078732297,0.8582477601830361,0.6931471805599453,-0.8454685146277701,0.8017125330294459,0.6500738181380799,0.6198410006931873
exp3,all_tasks,123,inf,0.014143652626462331,0.8794015850579405,0.5908683314395271,-0.6035654287257597,0.7991343203014885,0.7277233677250282,0.6112428682197543
exp3,ihm_decomp,7,inf,0.023803471918850388,0.8692611484192447,0.8642115828292655,-0.3524418570771435,0.8001880970707504,0.7298767072107601,0.6194537247849446
exp3,ihm_decomp,42,inf,0.005356007252689324,0.8379316905799179,0.6931471805599453,-0.8480696421075504,0.8017125330294459,0.6500738181380799,0.6198410006931873
exp3,ihm_decomp,123,inf,0.022962642704884136,0.8676320850281005,0.5908683314395271,-0.44729976205741284,0.7991343203014885,0.7277233677250282,0.6112428682197543
exp3,ihm_only,7,inf,0.0,0.9214863964831042,0.6931471805599453,-0.7757055364190895,0.8046397832801864,0.5234663975790631,0.5108161085639239
exp3,ihm_only,42,inf,0.0,0.9116039754036535,0.6931471805599453,-0.7973399630465723,0.7960104761238342,0.4940157812215598,0.5039119605581084
exp3,ihm_only,123,inf,0.0,0.9082382855138665,0.6931471805599453,-0.8047080735921619,0.7930715635214971,0.4927554975087044,0.5091538790562918
exp3,ihm_pheno,7,inf,-0.0017456578102003147,0.9175231519565402,0.8818585354526711,-0.7693693943920454,0.7935680464894657,0.6311514671554525,0.6197102576836556
exp3,ihm_pheno,42,inf,0.0013163287707882302,0.9255566307425953,0.5223864461670666,-0.7858137305901618,0.8018370702839948,0.4493816200819397,0.6226412722457757
exp3,ihm_pheno,123,inf,0.001956709698419193,0.927232012600526,0.6306268235786113,-0.739650255413298,0.8037476133830483,0.5059272718370231,0.6229011303687074
privacy,eps_0.5,7,0.5,-0.06211280089191398,0.6842037485158278,0.6523251860396901,-2.5882621301249293,0.5638522080163673,0.5950316720792872,0.5540172491846703
privacy,eps_0.5,42,0.5,-0.0669217969852227,0.6742510424275457,0.46373401623214006,-2.760323805193467,0.5644432393347795,0.5650717265354651,0.5521899011957806
privacy,eps_0.5,123,0.5,-0.06930984497512863,0.667400228284719,0.4574248470388755,-2.8263193339223083,0.5501714365684697,0.5679866648358491,0.5534234986455653
privacy,eps_1.0,7,1.0,-0.05754114645261538,0.6940722168003142,0.6523251860396901,-2.472295517415442,0.5660226549510015,0.6197748520177844,0.5559435631565164
privacy,eps_1.0,42,1.0,-0.014085408292221555,0.8130123906664571,0.46373401623214006,-1.365963050998897,0.7718677422686939,0.6216274903642582,0.5574923372020771
privacy,eps_1.0,123,1.0,-0.05529668669835635,0.7019386310937334,0.4574248470388755,-2.461465270579788,0.5899737930299123,0.6037802124812793,0.5537999263811959
privacy,eps_2.0,7,2.0,-0.014021784015082786,0.8164612388238617,0.6523251860396901,-1.3060879118300281,0.7832377020502412,0.5931838236624654,0.5778874477744501
privacy,eps_2.0,42,2.0,-0.019217721799987448,0.8053940603584627,0.46373401623214006,-1.488576167462376,0.7822397379636201,0.5636241033517798,0.5749560886329662
privacy,eps_2.0,123,2.0,-0.02052460643316932,0.803424699626192,0.4574248470388755,-1.521569195664636,0.7870646194241464,0.5487684026436154,0.575273015329238
privacy,eps_5.0,7,5.0,-0.007213856411471389,0.8338229799350722,0.6523251860396901,-1.1275586259102726,0.8032569615908781,0.605708425273372,0.5839174551293688
