embed_dim,epsilon_level,task_config,seed,round,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc,train_loss
128,inf,all_tasks,42,24,0.7988654656261478,0.6783714703018501,0.6042040680314921,0.6306120350695493
128,inf,all_tasks,42,25,0.7909436768526873,0.6870590747919384,0.602067433056481,0.6233543053007963
128,inf,all_tasks,42,26,0.7919086205567472,0.6908436828278004,0.60274526449736,0.6327083644114042
128,inf,all_tasks,42,27,0.7920596197360008,0.6925844188054601,0.6056404896117306,0.6155135223740026
128,inf,all_tasks,42,28,0.7847431880325215,0.6891328011611031,0.6052179204106639,0.6119141777356466
128,inf,all_tasks,42,29,0.7941649926767664,0.6903729033087762,0.6047307555619952,0.6189193641930296
128,inf,all_tasks,42,30,0.7887825294403056,0.6930976833054694,0.6063601786790365,0.6270751414591806
128,inf,all_tasks,42,31,0.7897687853408364,0.688347977255608,0.6039322923496039,0.6174524452602654
128,inf,all_tasks,42,32,0.7798531725698428,0.6808195238007754,0.6034411970675909,0.6150469659713277
128,inf,all_tasks,42,33,0.792267753739837,0.6919953702853153,0.6072949618921976,0.6059301689005735
128,inf,all_tasks,42,34,0.7897982596551052,0.6921997574911356,0.6025430770085431,0.6066383651474065
128,inf,all_tasks,42,35,0.7965193102103559,0.6987711506310742,0.6048666605417234,0.6027821616122597
128,inf,all_tasks,42,36,0.7969845509248132,0.6938210762249454,0.6049991879132698,0.6022003141411564
128,inf,all_tasks,42,37,0.7745958618062767,0.69881248736933,0.6070597704960714,0.6090697473601291
128,inf,all_tasks,42,38,0.8002811396130248,0.6980006797596958,0.6074336734945921,0.6076759539152446
128,inf,all_tasks,42,39,0.784522810851989,0.686414910620786,0.6076531489511481,0.6061160590564996
128,inf,all_tasks,42,40,0.7943391178564465,0.6966342709117965,0.6094125190842901,0.6028533431521633
128,inf,all_tasks,42,41,0.7925443588429745,0.6963047252484796,0.6049245835472593,0.6013705970948202
128,inf,all_tasks,42,42,0.7989416453922576,0.6971176811008433,0.6070063336806709,0.6012546200501291
128,inf,all_tasks,42,43,0.799987303372315,0.7068088497363634,0.6083985036847067,0.6024662428780606
128,inf,all_tasks,42,44,0.7942094308736639,0.6902236317539637,0.6077918611595807,0.593288766187534
128,inf,all_tasks,42,45,0.7923040298189371,0.6891293564329151,0.6087769329331552,0.599185513822656
128,inf,all_tasks,42,46,0.7975985235635806,0.7006956054454263,0.6062321898285399,0.5956998347190389
128,inf,all_tasks,42,47,0.792601493667557,0.6859682441990776,0.608622392845285,0.5938370504923034
128,inf,all_tasks,42,48,0.7908665901845998,0.6925798258345428,0.6107542948855301,0.5884384910265604
128,inf,all_tasks,42,49,0.7840457804118242,0.694999173265235,0.6096848084809741,0.5909866314185294
128,inf,all_tasks,42,50,0.7912465821131723,0.6947132608256326,0.6094682364375266,0.589461917939939
128,inf,all_tasks,42,51,0.798107295572958,0.6963954364240965,0.6133171253172772,0.591002914466356
128,inf,all_tasks,42,52,0.7986496229555028,0.7011939427899543,0.6096314663957176,0.5862841109434763
128,inf,all_tasks,42,53,0.8016786755603521,0.69867584648454,0.6103342396393212,0.5843549700159776
128,inf,all_tasks,42,54,0.7988418861747327,0.6943733809777516,0.6117554154517655,0.5884979341113776
128,inf,all_tasks,42,55,0.7901401617006225,0.7004481591372563,0.6138379044720741,0.5792174375893777
128,inf,all_tasks,42,56,0.7941813169123615,0.6980638331098088,0.6139382508014976,0.5813800044227064
128,inf,all_tasks,42,57,0.796610000408106,0.7057932290422737,0.6117131507509866,0.5753659130188457
128,inf,all_tasks,42,58,0.7969582507674657,0.6975385120611416,0.6141516636089871,0.5834271782322934
128,inf,all_tasks,42,59,0.7957910679224236,0.7001800444599585,0.6142790400006641,0.5727497961437493
128,inf,all_tasks,42,60,0.7988627449202154,0.6893038893277728,0.614891680484731,0.5794290638806527
128,inf,all_tasks,42,61,0.7945386362914965,0.6900272822472489,0.6131704817069696,0.5709564727649354
128,inf,all_tasks,42,62,0.7875700014963883,0.6950014697506935,0.6182160834541539,0.5751566871216423
128,inf,all_tasks,42,63,0.7916746398465522,0.6865251419228015,0.6143708771904636,0.5715609877778772
128,inf,all_tasks,42,64,0.7953484997574037,0.6921515312965039,0.6134932280553743,0.5667076215409396
128,inf,all_tasks,42,65,0.792523500097492,0.7043114218000772,0.6119419515762958,0.5738643256195805
128,inf,all_tasks,42,66,0.7880062213475655,0.70125250316915,0.6138439355859903,0.5670433023519683
128,inf,all_tasks,42,67,0.7843713582217466,0.698423233084088,0.6115837213152016,0.5754943573684023
128,inf,all_tasks,42,68,0.7934167985453293,0.6888985596443203,0.6141234688591735,0.5647097679606655
64,inf,all_tasks,42,1,0.6923271558193632,0.5092267044515074,0.5382366034155472,1.1200234618103295
64,inf,all_tasks,42,2,0.7115425949186281,0.6261970430453234,0.5445699080948732,1.0228768440715053
64,inf,all_tasks,42,3,0.7208782438750108,0.5248026170748287,0.5533858576690655,0.9877901328237433
64,inf,all_tasks,42,4,0.7158449378998871,0.5205012998107695,0.5634948025227218,0.951633614406251
64,inf,all_tasks,42,5,0.7521672690007299,0.6700208750528192,0.5784413467814096,0.913540734533678
64,inf,all_tasks,42,6,0.7539203105232372,0.6250258354614098,0.5782485133496714,0.8490590630916127
64,inf,all_tasks,42,7,0.7696033664201405,0.6037552130219911,0.578090503269263,0.8234741541377285
64,inf,all_tasks,42,8,0.7687236715019656,0.7051783450607191,0.578747840201021,0.792332250820963
64,inf,all_tasks,42,9,0.7752034861312015,0.7050807444287261,0.5794399501045411,0.7616870466031527
64,inf,all_tasks,42,10,0.7817150423296497,0.6894359372416454,0.5847000974099036,0.7426645368860479
64,inf,all_tasks,42,11,0.7762926754061787,0.6954986588524922,0.587444840284564,0.726746163870159
64,inf,all_tasks,42,12,0.7705048269857753,0.6812478183388144,0.5846898850585892,0.7186962000110693
64,inf,all_tasks,42,13,0.7837192956999243,0.6983302254230127,0.5876710420777104,0.6964864584437588
